Altium Designer Pick and Place Locations
C:\Users\Liam\Desktop\Shell Eco-Marathon\3-Phase BLDC Motor Controller\Vanilla\V-1\Design Files\Project Outputs\Pick Place Output\Pick Place for VANILLA.csv

========================================================================================================================
File Design Information:

Date:       27/09/25
Time:       01:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J10","61300411121","TopLayer","WURTH_61300411121","2589.000","736.000","270","Header, 2.54 mm, 4x1, Gold, TH"
"J9","61300821121","TopLayer","FP-61300821121_HDR8-MFG","2540.000","237.776","270","CONN HEADER VERT 8POS 2.54MM"
"Logo4","FCC disclaimer","TopLayer","FCC_disclaimer","-2154.150","-2296.150","90","FCC_disclaimer"
"C49","885012206083","TopLayer","0603","1546.449","1113.515","0","CAP, CERM, 1000 pF, 50 V,+/- 10%, X7R, 0603"
"C48","885012206083","TopLayer","0603","2206.449","1107.515","0","CAP, CERM, 1000 pF, 50 V,+/- 10%, X7R, 0603"
"C47","885012206083","TopLayer","0603","941.449","1105.515","0","CAP, CERM, 1000 pF, 50 V,+/- 10%, X7R, 0603"
"C46","885012206083","TopLayer","0603","777.449","1992.515","270","CAP, CERM, 1000 pF, 50 V,+/- 10%, X7R, 0603"
"C22","885012206083","TopLayer","0603","1449.449","1989.515","270","CAP, CERM, 1000 pF, 50 V,+/- 10%, X7R, 0603"
"C20","885012206083","TopLayer","0603","2118.015","1985.515","270","CAP, CERM, 1000 pF, 50 V,+/- 10%, X7R, 0603"
"C41","GRM155R71C102KA01D","TopLayer","0402","368.000","444.000","180","CAP, CERM, 1000 pF, 16 V, +/- 10%, X7R, 0402"
"U5","INA180A3IDBV","TopLayer","DBV0005A_N","326.000","818.000","180","Low- and High-Side Measurement, Multichannel, Voltage Output, Current-Sense Amplifier, DBV0005A (SOT-5)"
"R10","CRCW040275K0JNED","BottomLayer","0402","1112.000","565.000","0","RES, 75 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402"
"R6","ERJ-2RKF1802X","BottomLayer","0402","1109.000","757.083","0","RES, 18.0 k, 1%, 0.1 W, AEC-Q200 Grade 0, 0402"
"R5","CRCW040275K0JNED","BottomLayer","0402","1109.000","710.113","0","RES, 75 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402"
"R4","RC0402JR-070RL","BottomLayer","0402","1109.000","805.386","180","RES, 0, 5%, 0.063 W, 0402"
"ZZ4","These assemblies must comply with workmanship standards IPC-A-610 Class 2, unless otherwise specified.","TopLayer","AssemblyNote","-2154.150","-2296.150","0","These assemblies must comply with workmanship standards IPC-A-610 Class 2, unless otherwise specified."
"ZZ3","These assemblies must be clean and free from flux and all contaminants. Use of no clean flux is not acceptable.","TopLayer","AssemblyNote","-2154.150","-2296.150","0","These assemblies must be clean and free from flux and all contaminants. Use of no clean flux is not acceptable."
"ZZ2","These assemblies are ESD sensitive, ESD precautions shall be observed.","TopLayer","AssemblyNote","-2154.150","-2296.150","0","These assemblies are ESD sensitive, ESD precautions shall be observed."
"ZZ1","This Assembly Note is for PCB labels only","TopLayer","AssemblyNoteLabel","-2154.150","-2296.150","0","This Assembly Note is for PCB labels only"
"H2","NY PMS 256 0025 PH","TopLayer","NY_PMS_256_0025_PH","773.138","967.000","180","MACHINE SCREW PAN PHILLIPS 2-56"
"H1","NY PMS 256 0025 PH","TopLayer","NY_PMS_256_0025_PH","2611.372","2650.800","180","MACHINE SCREW PAN PHILLIPS 2-56"
"D5","150060GS75000","TopLayer","WL-SMCW_GREEN","984.288","92.201","270","LED RED CLEAR 0603 SMD"
"D6","150060GS75000","TopLayer","WL-SMCW_GREEN","920.288","92.201","270","LED YELLOW CLEAR 0603 SMD"
"D7","150060GS75000","TopLayer","WL-SMCW_GREEN","839.000","115.000","90","LED, Green, SMD"
"J8","61300411121","TopLayer","WURTH_61300411121","1993.748","80.831","0","Header, 2.54 mm, 4x1, Gold, TH"
"J6","61300211121","TopLayer","WURTH_61300211121","81.293","956.000","270","Header, 2.54 mm, 2x1, Gold, TH"
"J7","61300511121","TopLayer","Wurth_61300511121","76.158","595.811","90","Header, 2.54mm, 5x1, Gold, TH"
"J5","61300211121","TopLayer","WURTH_61300211121","77.311","243.070","270","Header, 2.54 mm, 2x1, Gold, TH"
"J4","61300411121","TopLayer","WURTH_61300411121","220.811","76.000","180","Header, 2.54 mm, 4x1, Gold, TH"
"C1","EEU-FS2A391","TopLayer","YXJ_1600X2500","333.808","1534.490","180","CAP ALUM 390UF 20% 100V THRUHOLE"
"C2","EEU-FS2A391","TopLayer","YXJ_1600X2500","334.042","2215.490","180","CAP ALUM 390UF 20% 100V THRUHOLE"
"C5","22201C106MAT2A","TopLayer","2220_280","1934.189","687.087","0","CAP, CERM, 10 uF, 100 V, +/- 20%, X7R, 2220"
"C6","GRM188R72A104KA35D","TopLayer","0603","1753.638","722.000","90","CAP, CERM, 0.1 uF, 100 V, +/- 10%, X7R, 0603"
"C24","885012206114","TopLayer","0603","1293.000","435.464","90","CAP, CERM, 0.01 µF, 100 V,+/- 10%, X7R, 0603"
"C29","C3216X7S2A335M160AB","TopLayer","1206_190","1454.000","377.000","270","CAP, CERM, 3.3 uF, 100 V, +/- 20%, X7S, 1206_190"
"C30","GRM188R72A104KA35D","TopLayer","0603","1380.472","436.189","270","CAP, CERM, 0.1 uF, 100 V, +/- 10%, X7R, 0603"
"C31","CL05A105MO5NNNC","TopLayer","0402","1599.189","602.535","270","CAP, CERM, 1 µF, 16 V,+/- 20%, X5R, 0402"
"D2","DFLS1200-7","TopLayer","POWERDI123","1457.189","206.536","90","Diode, Schottky, 200 V, 1 A, PowerDI123"
"D3","DFLS1200-7","TopLayer","POWERDI123","1992.000","288.245","0","Diode, Schottky, 200 V, 1 A, PowerDI123"
"D4","LED_A2_K1","TopLayer","WL-SMCW_GREEN","1554.504","76.000","180","LED, Green, SMD"
"Q1","CSD19536KTT","TopLayer","KTT0002A","2276.949","2318.490","90","MOSFET, N-CH, 100 V, 200 A, KTT0002A (TO-263-2)"
"Q2","CSD19536KTT","TopLayer","KTT0002A","1601.449","2314.618","90","MOSFET, N-CH, 100 V, 200 A, KTT0002A (TO-263-2)"
"Q3","CSD19536KTT","TopLayer","KTT0002A","932.756","2312.837","90","MOSFET, N-CH, 100 V, 200 A, KTT0002A (TO-263-2)"
"Q4","CSD19536KTT","TopLayer","KTT0002A","2276.949","1435.103","90","MOSFET, N-CH, 100 V, 200 A, KTT0002A (TO-263-2)"
"Q5","CSD19536KTT","TopLayer","KTT0002A","1612.449","1435.102","90","MOSFET, N-CH, 100 V, 200 A, KTT0002A (TO-263-2)"
